Company,Industry,Founded,Number of Partners
Nippon Express,"Logistics and Supply Chain, ECommerce",1947,7
Old Dominion Freight Line,Logistics and Supply Chain,1934,6
Omnicom Group,"Marketing, Advertising",1986,8
OneMain Financial,"Finance , Financial Services",1912,6
ONTEX,Consumer Goods,1979,6
Openreach,Telecommunications,2006,9
Owens Corning,Information Technology,1938,9
OYO Rooms,"Internet, Facility Management ",2013,10
Pacific Sunwear,"Information Technology, Design, Marketing, Finance, Human Resources, Fashion, ECommerce",1982,7
pactera,"Software, Hardware",1995,6
Parexel,"Web Development, Pharmaceutical",1982,10
Penske Logistics,Logistics and Supply Chain,1969,8
Pilot Flying J,,1958,6
Princess Cruises,"Food and Beverage, Retail, Public Relations",1965,6
Progressive Insurance,"Information Technology, Automotive, Logistics and Supply Chain",1937,9
reCaptcha,Cyber Security,2007,8
Renesas Electronics,Automotive,2010,9
Robert Half International,"Management Consulting, Recruiting, Human Resources, Cyber Security",1948,10
Roche,"Healthcare, Pharmaceutical",1896,9
Rohde & Schwarz,Telecommunications,1933,7
RR Donnelly,Marketing,1864,10
Safeway,"Healthcare, Food and Beverage, Retail, ECommerce",1915,10
Saint-Gobain,Building Materials,1800,8
sanofi,"Healthcare, Pharmaceutical",2004,7
Scientific Games Corporation,Information Technology,1973,10
SFR,"Telecommunications, Internet, Public Relations",1987,6
Societe Generale,"Banking, Financial Services, Retail, Insurance",1864,6
Southwest Airlines,"Public Relations, Customer Service",1971,10
SPIE,"Information Technology, Energy",2011,6
Standard Chartered Bank,"Finance, Banking, Financial Services",1969,6
Stanley Black & Decker,"Automotive, Internet, Cyber Security",1843,8
ST Engineering,Hardware,1967,9
STMicroelectronics,"Telecommunications, Consumer Goods",1987,10
SunTrust Bank,"Banking, Financial Services",1891,8
Sutter Health,Healthcare,1981,6
Sysco,"Food and Beverage, Logistics and Supply Chain",1969,7
Telecom Italia,"Telecommunications, Internet",1908,6
Telia Company,Telecommunications,1853,6
Telmex,Telecommunications,0,7
Tetra Tech,"Data Management Technology, Energy",1996,6
The Goodyear,Automotive,1898,7
The Hershey Company,"Food and Beverage, Consumer Goods",1894,9
The LEGO Group,"Software, Education, Consumer Goods",1932,6
The TJX Companies,"Apparel , Retail, Fashion",1987,7
TIAA,"Financial Services, Insurance",1918,6
TOTAL,"Marketing, Energy",1924,6
Tractor Supply Company,"Agriculture, Retail",1938,10
transcosmos inc.,"Digital Marketing, Information Technology, Accounting, Human Resources, ECommerce",1966,10
Tribune Media,"Broadcasting, Publishing ",1847,6
TRIRIGA,"Software, Business Communications",2000,8
Turkcell,"Information Technology, Telecommunications",1994,9
Tyson Foods,"Marketing, Food and Beverage",1935,10
Ubisoft,"Information Technology, Publishing ",1986,7
Ulta Beauty,Retail,1990,7
Under Armour,"Apparel , Internet, ECommerce",1996,7
UnitedHealth Group,Healthcare,1980,9
University of Missouri - Extension,"Business Communications, Web Development, Retail",1839,10
Unum Group,"Finance, Insurance",1848,8
UPMC,Healthcare,1986,8
Urban Outfitters,"Retail, Fashion, ECommerce",1970,10
VendorPass,Human Resources,2007,6
Vericast,"Marketing, Advertising",1897,9
VIDEOTRON,"Telecommunications, Internet",1964,8
Virginia Commonwealth University,Education,1838,6
visualstudio,Software,1975,10
Volkswagen Group,Automotive,1937,6
Wakefern Food Corp.,"Retail, Logistics and Supply Chain",1946,8
WarnerMedia,"Social Media, Advertising, Media Production",1985,6
Webhelp,Internet,2000,7
West Virginia University,"Education, Financial Services",1867,7
Whole Foods Market,"Food and Beverage, ECommerce",1978,7
Wichita State University,Education,1895,9
WW International,Healthcare,1960,10
Xfinity,"Social Media, Internet",2010,10
Yokogawa,Information Technology,1915,9
YRC Freight,Logistics and Supply Chain,1924,7
ZEISS,"Software, Hardware",1846,6
ZTE Corporation,"Enterprise Solutions, Hardware, Telecommunications, Public Relations",1985,8
